pcode,municipio,pcode_departamento,departamento,mmi,grado_mercalli,metodo
#adm2+code,#adm2+name,#adm1+code,#adm1+name,#severity+mmi+num,#severity+mmi+code,#meta+method
CO50573,Puerto López,CO50,Meta,4.8,V,malla
CO50577,Puerto Lleras,CO50,Meta,4.8,V,malla
CO50606,Restrepo,CO50,Meta,4.8,V,malla
CO50683,San Juan de Arama,CO50,Meta,4.8,V,malla
CO52621,Roberto Payán,CO52,Nariño,4.8,V,malla
CO68235,El Carmen de Chucuri,CO68,Santander,4.8,V,malla
CO68575,Puerto Wilches,CO68,Santander,4.8,V,malla
CO68689,San Vicente de Chucurí,CO68,Santander,4.8,V,malla
CO05107,Briceño,CO05,Antioquia,4.7,V,malla
CO05819,Toledo,CO05,Antioquia,4.7,V,malla
CO08560,Ponedera,CO08,Atlántico,4.7,V,centroide
CO13052,Arjona,CO13,Bolívar,4.7,V,centroide
CO13433,Mahates,CO13,Bolívar,4.7,V,centroide
CO13657,San Juan Nepomuceno,CO13,Bolívar,4.7,V,centroide
CO13673,Santa Catalina,CO13,Bolívar,4.7,V,centroide
CO13836,Turbaco,CO13,Bolívar,4.7,V,centroide
CO15104,Boyacá,CO15,Boyacá,4.7,V,malla
CO15212,Coper,CO15,Boyacá,4.7,V,malla
CO15401,La Victoria,CO15,Boyacá,4.7,V,malla
CO15776,Sutamarchán,CO15,Boyacá,4.7,V,malla
CO15861,Ventaquemada,CO15,Boyacá,4.7,V,malla
CO19100,Bolívar,CO19,Cauca,4.7,V,malla
CO19622,Rosas,CO19,Cauca,4.7,V,malla
CO23068,Ayapel,CO23,Córdoba,4.7,V,centroide
CO23168,Chimá,CO23,Córdoba,4.7,V,centroide
CO23182,Chinú,CO23,Córdoba,4.7,V,centroide
CO23300,Cotorra,CO23,Córdoba,4.7,V,centroide
CO23350,La Apartada,CO23,Córdoba,4.7,V,centroide
CO23555,Planeta Rica,CO23,Córdoba,4.7,V,centroide
CO23570,Pueblo Nuevo,CO23,Córdoba,4.7,V,centroide
CO23586,Purísima de la Concepción,CO23,Córdoba,4.7,V,centroide
CO23672,San Antero,CO23,Córdoba,4.7,V,centroide
CO25426,Machetá,CO25,Cundinamarca,4.7,V,malla
CO25785,Tabio,CO25,Cundinamarca,4.7,V,malla
CO41020,Algeciras,CO41,Huila,4.7,V,malla
CO41378,La Argentina,CO41,Huila,4.7,V,malla
CO41483,Nátaga,CO41,Huila,4.7,V,malla
CO41548,Pital,CO41,Huila,4.7,V,malla
CO41791,Tarqui,CO41,Huila,4.7,V,malla
CO50124,Cabuyaro,CO50,Meta,4.7,V,centroide
CO50400,Lejanías,CO50,Meta,4.7,V,malla
CO52427,Magüí,CO52,Nariño,4.7,V,malla
CO52520,Francisco Pizarro,CO52,Nariño,4.7,V,malla
CO52835,San Andrés de Tumaco,CO52,Nariño,4.7,V,malla
CO68271,Florián,CO68,Santander,4.7,V,malla
CO68368,Jesús María,CO68,Santander,4.7,V,malla
CO68655,Sabana de Torres,CO68,Santander,4.7,V,malla
CO68861,Vélez,CO68,Santander,4.7,V,malla
CO70221,Coveñas,CO70,Sucre,4.7,V,centroide
CO70230,Chalán,CO70,Sucre,4.7,V,centroide
CO70400,La Unión,CO70,Sucre,4.7,V,centroide
CO70473,Morroa,CO70,Sucre,4.7,V,centroide
CO70820,Santiago de Tolú,CO70,Sucre,4.7,V,centroide
CO99773,Cumaribo,CO99,Vichada,4.7,V,centroide
CO05134,Campamento,CO05,Antioquia,4.6,V,malla
CO08433,Malambo,CO08,Atlántico,4.6,V,centroide
CO08606,Repelón,CO08,Atlántico,4.6,V,centroide
CO08638,Sabanalarga,CO08,Atlántico,4.6,V,centroide
CO13222,Clemencia,CO13,Bolívar,4.6,V,centroide
CO13458,Montecristo,CO13,Bolívar,4.6,V,malla
CO13683,Santa Rosa,CO13,Bolívar,4.6,V,centroide
CO13688,Santa Rosa del Sur,CO13,Bolívar,4.6,V,malla
CO13838,Turbaná,CO13,Bolívar,4.6,V,centroide
CO15051,Arcabuco,CO15,Boyacá,4.6,V,malla
CO15293,Gachantivá,CO15,Boyacá,4.6,V,malla
CO15638,Sáchica,CO15,Boyacá,4.6,V,malla
CO15808,Tinjacá,CO15,Boyacá,4.6,V,malla
CO19392,La Sierra,CO19,Cauca,4.6,V,malla
CO19693,San Sebastián,CO19,Cauca,4.6,V,malla
CO23189,Ciénaga de Oro,CO23,Córdoba,4.6,V,centroide
CO23464,Momil,CO23,Córdoba,4.6,V,centroide
CO23670,San Andrés de Sotavento,CO23,Córdoba,4.6,V,centroide
CO23678,San Carlos,CO23,Córdoba,4.6,V,centroide
CO25279,Fómeque,CO25,Cundinamarca,4.6,V,malla
CO25281,Fosca,CO25,Cundinamarca,4.6,V,malla
CO25297,Gachetá,CO25,Cundinamarca,4.6,V,malla
CO25372,Junín,CO25,Cundinamarca,4.6,V,malla
CO25653,San Cayetano,CO25,Cundinamarca,4.6,V,malla
CO25807,Tibirita,CO25,Cundinamarca,4.6,V,malla
CO25873,Villapinzón,CO25,Cundinamarca,4.6,V,malla
CO41026,Altamira,CO41,Huila,4.6,V,malla
CO47161,Cerro de San Antonio,CO47,Magdalena,4.6,V,centroide
CO50590,Puerto Rico,CO50,Meta,4.6,V,malla
CO52405,Leiva,CO52,Nariño,4.6,V,malla
CO68020,Albania,CO68,Santander,4.6,V,malla
CO68324,Guavatá,CO68,Santander,4.6,V,malla
CO68572,Puente Nacional,CO68,Santander,4.6,V,malla
CO70001,Sincelejo,CO70,Sucre,4.6,V,centroide
CO70110,Buenavista,CO70,Sucre,4.6,V,centroide
CO70124,Caimito,CO70,Sucre,4.6,V,centroide
CO70713,San Onofre,CO70,Sucre,4.6,V,centroide
CO70823,San José de Toluviejo,CO70,Sucre,4.6,V,centroide
CO08001,Barranquilla,CO08,Atlántico,4.5,V,centroide
CO08421,Luruaco,CO08,Atlántico,4.5,V,centroide
CO08436,Manatí,CO08,Atlántico,4.5,V,centroide
CO08549,Piojó,CO08,Atlántico,4.5,V,centroide
CO08558,Polonuevo,CO08,Atlántico,4.5,V,centroide
CO08675,Santa Lucía,CO08,Atlántico,4.5,V,centroide
CO08685,Santo Tomás,CO08,Atlántico,4.5,V,centroide
CO08832,Tubará,CO08,Atlántico,4.5,V,centroide
CO08849,Usiacurí,CO08,Atlántico,4.5,V,centroide
CO13140,Calamar,CO13,Bolívar,4.5,V,centroide
CO13248,El Guamo,CO13,Bolívar,4.5,V,centroide
CO13442,María La Baja,CO13,Bolívar,4.5,V,centroide
CO13620,San Cristóbal,CO13,Bolívar,4.5,V,centroide
CO13744,Simití,CO13,Bolívar,4.5,V,malla
CO13873,Villanueva,CO13,Bolívar,4.5,V,centroide
CO15001,Tunja,CO15,Boyacá,4.5,V,malla
CO15204,Cómbita,CO15,Boyacá,4.5,V,malla
CO15224,Cucaita,CO15,Boyacá,4.5,V,malla
CO15442,Maripí,CO15,Boyacá,4.5,V,malla
CO15469,Moniquirá,CO15,Boyacá,4.5,V,malla
CO15500,Oicatá,CO15,Boyacá,4.5,V,malla
CO15686,Santana,CO15,Boyacá,4.5,V,malla
CO15762,Sora,CO15,Boyacá,4.5,V,malla
CO15814,Toca,CO15,Boyacá,4.5,V,malla
CO15835,Turmequé,CO15,Boyacá,4.5,V,malla
CO15837,Tuta,CO15,Boyacá,4.5,V,malla
CO15842,Úmbita,CO15,Boyacá,4.5,V,malla
CO19050,Argelia,CO19,Cauca,4.5,V,malla
CO19397,La Vega,CO19,Cauca,4.5,V,malla
CO19701,Santa Rosa,CO19,Cauca,4.5,V,malla
CO20710,San Alberto,CO20,Cesar,4.5,V,malla
CO20770,San Martín,CO20,Cesar,4.5,V,malla
CO23815,Tuchín,CO23,Córdoba,4.5,V,centroide
CO25335,Guayabetal,CO25,Cundinamarca,4.5,V,malla
CO41319,Guadalupe,CO41,Huila,4.5,V,malla
CO41503,Oporapa,CO41,Huila,4.5,V,malla
CO47205,Concordia,CO47,Magdalena,4.5,V,centroide
CO47541,Pedraza,CO47,Magdalena,4.5,V,centroide
CO50245,El Calvario,CO50,Meta,4.5,V,malla
CO68092,Betulia,CO68,Santander,4.5,V,malla
CO68179,Chipatá,CO68,Santander,4.5,V,malla
CO68307,Girón,CO68,Santander,4.5,V,malla
CO68500,Oiba,CO68,Santander,4.5,V,malla
CO68615,Rionegro,CO68,Santander,4.5,V,malla
CO68770,Suaita,CO68,Santander,4.5,V,malla
CO70204,Colosó,CO70,Sucre,4.5,V,centroide
CO70233,El Roble,CO70,Sucre,4.5,V,centroide
CO70235,Galeras,CO70,Sucre,4.5,V,centroide
CO70418,Los Palmitos,CO70,Sucre,4.5,V,centroide
CO70670,Sampués,CO70,Sucre,4.5,V,centroide
CO70678,San Benito Abad,CO70,Sucre,4.5,V,centroide
CO70702,San Juan de Betulia,CO70,Sucre,4.5,V,centroide
CO70717,San Pedro,CO70,Sucre,4.5,V,centroide
CO70742,San Luis de Sincé,CO70,Sucre,4.5,V,centroide
CO86573,Puerto Leguízamo,CO86,Putumayo,4.5,V,centroide
CO08078,Baranoa,CO08,Atlántico,4.4,IV,centroide
CO08137,Campo de la Cruz,CO08,Atlántico,4.4,IV,centroide
CO08141,Candelaria,CO08,Atlántico,4.4,IV,centroide
CO08296,Galapa,CO08,Atlántico,4.4,IV,centroide
CO08372,Juan de Acosta,CO08,Atlántico,4.4,IV,centroide
CO08573,Puerto Colombia,CO08,Atlántico,4.4,IV,centroide
CO08770,Suan,CO08,Atlántico,4.4,IV,centroide
CO13062,Arroyohondo,CO13,Bolívar,4.4,IV,centroide
CO13212,Córdoba,CO13,Bolívar,4.4,IV,centroide
CO13654,San Jacinto,CO13,Bolívar,4.4,IV,centroide
CO13760,Soplaviento,CO13,Bolívar,4.4,IV,centroide
CO13894,Zambrano,CO13,Bolívar,4.4,IV,centroide
CO15109,Buenavista,CO15,Boyacá,4.4,IV,malla
CO15367,Jenesano,CO15,Boyacá,4.4,IV,malla
CO15664,San José de Pare,CO15,Boyacá,4.4,IV,malla
CO15667,San Luis de Gaceno,CO15,Boyacá,4.4,IV,malla
CO15696,Santa Sofía,CO15,Boyacá,4.4,IV,malla
CO15764,Soracá,CO15,Boyacá,4.4,IV,malla
CO15804,Tibaná,CO15,Boyacá,4.4,IV,malla
CO15816,Togüí,CO15,Boyacá,4.4,IV,malla
CO15832,Tununguá,CO15,Boyacá,4.4,IV,malla
CO18247,El Doncello,CO18,Caquetá,4.4,IV,malla
CO18410,La Montañita,CO18,Caquetá,4.4,IV,centroide
CO20060,Bosconia,CO20,Cesar,4.4,IV,centroide
CO20787,Tamalameque,CO20,Cesar,4.4,IV,centroide
CO25151,Cáqueza,CO25,Cundinamarca,4.4,IV,malla
CO25293,Gachalá,CO25,Cundinamarca,4.4,IV,malla
CO25594,Quetame,CO25,Cundinamarca,4.4,IV,malla
CO25839,Ubalá,CO25,Cundinamarca,4.4,IV,malla
CO25841,Ubaque,CO25,Cundinamarca,4.4,IV,malla
CO41770,Suaza,CO41,Huila,4.4,IV,malla
CO41807,Timaná,CO41,Huila,4.4,IV,malla
CO54385,La Esperanza,CO54,Norte de Santander,4.4,IV,malla
CO68013,Aguada,CO68,Santander,4.4,IV,malla
CO68077,Barbosa,CO68,Santander,4.4,IV,malla
CO68397,La Paz,CO68,Santander,4.4,IV,malla
CO68406,Lebrija,CO68,Santander,4.4,IV,malla
CO70523,Palmito,CO70,Sucre,4.4,IV,centroide
CO95001,San José del Guaviare,CO95,Guaviare,4.4,IV,malla
CO13001,Cartagena de Indias,CO13,Bolívar,4.3,IV,centroide
CO13244,El Carmen de Bolívar,CO13,Bolívar,4.3,IV,centroide
CO13580,Regidor,CO13,Bolívar,4.3,IV,centroide
CO13647,San Estanislao,CO13,Bolívar,4.3,IV,centroide
CO15106,Briceño,CO15,Boyacá,4.3,IV,malla
CO15185,Chitaraque,CO15,Boyacá,4.3,IV,malla
CO15187,Chivatá,CO15,Boyacá,4.3,IV,malla
CO15232,Chíquiza,CO15,Boyacá,4.3,IV,malla
CO15476,Motavita,CO15,Boyacá,4.3,IV,malla
CO15740,Siachoque,CO15,Boyacá,4.3,IV,malla
CO15763,Sotaquirá,CO15,Boyacá,4.3,IV,malla
CO18001,Florencia,CO18,Caquetá,4.3,IV,malla
CO19022,Almaguer,CO19,Cauca,4.3,IV,malla
CO20175,Chimichagua,CO20,Cesar,4.3,IV,centroide
CO20295,Gamarra,CO20,Cesar,4.3,IV,centroide
CO23686,San Pelayo,CO23,Córdoba,4.3,IV,centroide
CO41006,Acevedo,CO41,Huila,4.3,IV,malla
CO41244,Elías,CO41,Huila,4.3,IV,malla
CO52418,Los Andes,CO52,Nariño,4.3,IV,malla
CO68001,Bucaramanga,CO68,Santander,4.3,IV,malla
CO68245,El Guacamayo,CO68,Santander,4.3,IV,malla
CO68298,Gámbita,CO68,Santander,4.3,IV,malla
CO68320,Guadalupe,CO68,Santander,4.3,IV,malla
CO68327,Güepsa,CO68,Santander,4.3,IV,malla
CO68720,Santa Helena del Opón,CO68,Santander,4.3,IV,malla
CO70215,Corozal,CO70,Sucre,4.3,IV,centroide
CO70508,Ovejas,CO70,Sucre,4.3,IV,centroide
CO70708,San Marcos,CO70,Sucre,4.3,IV,centroide
CO94663,Mapiripana,CO94,Guainía,4.3,IV,centroide
CO95015,Calamar,CO95,Guaviare,4.3,IV,malla
CO05665,San Pedro de Urabá,CO05,Antioquia,4.2,IV,centroide
CO13268,El Peñón,CO13,Bolívar,4.2,IV,centroide
CO15494,Nuevo Colón,CO15,Boyacá,4.2,IV,malla
CO19785,Sucre,CO19,Cauca,4.2,IV,malla
CO20011,Aguachica,CO20,Cesar,4.2,IV,centroide
CO20032,Astrea,CO20,Cesar,4.2,IV,centroide
CO20250,El Paso,CO20,Cesar,4.2,IV,centroide
CO20383,La Gloria,CO20,Cesar,4.2,IV,centroide
CO20550,Pelaya,CO20,Cesar,4.2,IV,centroide
CO20570,Pueblo Bello,CO20,Cesar,4.2,IV,centroide
CO25299,Gama,CO25,Cundinamarca,4.2,IV,malla
CO47001,Santa Marta,CO47,Magdalena,4.2,IV,centroide
CO47053,Aracataca,CO47,Magdalena,4.2,IV,centroide
CO47258,El Piñón,CO47,Magdalena,4.2,IV,centroide
CO47288,Fundación,CO47,Magdalena,4.2,IV,centroide
CO50325,Mapiripán,CO50,Meta,4.2,IV,centroide
CO50686,San Juanito,CO50,Meta,4.2,IV,malla
CO52079,Barbacoas,CO52,Nariño,4.2,IV,malla
CO54174,Chitagá,CO54,Norte de Santander,4.2,IV,centroide
CO68167,Charalá,CO68,Santander,4.2,IV,malla
CO68276,Floridablanca,CO68,Santander,4.2,IV,malla
CO68755,Socorro,CO68,Santander,4.2,IV,malla
CO68872,Villanueva,CO68,Santander,4.2,IV,malla
CO85263,Pore,CO85,Casanare,4.2,IV,centroide
CO85300,Sabanalarga,CO85,Casanare,4.2,IV,centroide
CO08520,Palmar de Varela,CO08,Atlántico,4.1,IV,centroide
CO08634,Sabanagrande,CO08,Atlántico,4.1,IV,centroide
CO08758,Soledad,CO08,Atlántico,4.1,IV,centroide
CO13188,Cicuco,CO13,Bolívar,4.1,IV,centroide
CO15189,Ciénega,CO15,Boyacá,4.1,IV,malla
CO15236,Chivor,CO15,Boyacá,4.1,IV,malla
CO15272,Firavitoba,CO15,Boyacá,4.1,IV,centroide
CO15299,Garagoa,CO15,Boyacá,4.1,IV,malla
CO15322,Guateque,CO15,Boyacá,4.1,IV,malla
CO15325,Guayatá,CO15,Boyacá,4.1,IV,malla
CO15380,La Capilla,CO15,Boyacá,4.1,IV,malla
CO15425,Macanal,CO15,Boyacá,4.1,IV,malla
CO15542,Pesca,CO15,Boyacá,4.1,IV,malla
CO15599,Ramiriquí,CO15,Boyacá,4.1,IV,malla
CO15621,Rondón,CO15,Boyacá,4.1,IV,malla
CO15690,Santa María,CO15,Boyacá,4.1,IV,malla
CO15759,Sogamoso,CO15,Boyacá,4.1,IV,centroide
CO15761,Somondoco,CO15,Boyacá,4.1,IV,malla
CO15778,Sutatenza,CO15,Boyacá,4.1,IV,malla
CO15798,Tenza,CO15,Boyacá,4.1,IV,malla
CO15879,Viracachá,CO15,Boyacá,4.1,IV,malla
CO18256,El Paujíl,CO18,Caquetá,4.1,IV,malla
CO20001,Valledupar,CO20,Cesar,4.1,IV,centroide
CO20178,Chiriguaná,CO20,Cesar,4.1,IV,centroide
CO20228,Curumaní,CO20,Cesar,4.1,IV,centroide
CO20517,Pailitas,CO20,Cesar,4.1,IV,centroide
CO20614,Río de Oro,CO20,Cesar,4.1,IV,centroide
CO23090,Canalete,CO23,Córdoba,4.1,IV,centroide
CO23162,Cereté,CO23,Córdoba,4.1,IV,centroide
CO23419,Los Córdobas,CO23,Córdoba,4.1,IV,centroide
CO23574,Puerto Escondido,CO23,Córdoba,4.1,IV,centroide
CO23855,Valencia,CO23,Córdoba,4.1,IV,centroide
CO25436,Manta,CO25,Cundinamarca,4.1,IV,malla
CO50110,Barranca de Upía,CO50,Meta,4.1,IV,centroide
CO50450,Puerto Concordia,CO50,Meta,4.1,IV,centroide
CO52210,Contadero,CO52,Nariño,4.1,IV,centroide
CO52233,Cumbitara,CO52,Nariño,4.1,IV,malla
CO52256,El Rosario,CO52,Nariño,4.1,IV,malla
CO52411,Linares,CO52,Nariño,4.1,IV,centroide
CO52540,Policarpa,CO52,Nariño,4.1,IV,malla
CO52612,Ricaurte,CO52,Nariño,4.1,IV,centroide
CO52678,Samaniego,CO52,Nariño,4.1,IV,centroide
CO52694,San Pedro de Cartago,CO52,Nariño,4.1,IV,centroide
CO54128,Cáchira,CO54,Norte de Santander,4.1,IV,malla
CO68079,Barichara,CO68,Santander,4.1,IV,malla
CO68176,Chima,CO68,Santander,4.1,IV,malla
CO68209,Confines,CO68,Santander,4.1,IV,malla
CO68211,Contratación,CO68,Santander,4.1,IV,malla
CO68322,Guapotá,CO68,Santander,4.1,IV,malla
CO68418,Los Santos,CO68,Santander,4.1,IV,malla
CO68524,Palmas del Socorro,CO68,Santander,4.1,IV,malla
CO68673,San Benito,CO68,Santander,4.1,IV,malla
CO68679,San Gil,CO68,Santander,4.1,IV,malla
CO68820,Tona,CO68,Santander,4.1,IV,centroide
CO68895,Zapatoca,CO68,Santander,4.1,IV,malla
CO70265,Guaranda,CO70,Sucre,4.1,IV,centroide
CO85440,Villanueva,CO85,Casanare,4.1,IV,centroide
CO94001,Inírida,CO94,Guainía,4.1,IV,centroide
CO94343,Barrancominas,CO94,Guainía,4.1,IV,centroide
CO94884,Puerto Colombia,CO94,Guainía,4.1,IV,centroide
CO94886,Cacahual,CO94,Guainía,4.1,IV,centroide
CO13440,Margarita,CO13,Bolívar,4,IV,centroide
CO13468,Mompós,CO13,Bolívar,4,IV,centroide
CO13655,San Jacinto del Cauca,CO13,Bolívar,4,IV,centroide
CO15022,Almeida,CO15,Boyacá,4,IV,malla
CO15135,Campohermoso,CO15,Boyacá,4,IV,malla
CO15172,Chinavita,CO15,Boyacá,4,IV,malla
CO15180,Chiscas,CO15,Boyacá,4,IV,centroide
CO15238,Duitama,CO15,Boyacá,4,IV,malla
CO15455,Miraflores,CO15,Boyacá,4,IV,malla
CO15464,Mongua,CO15,Boyacá,4,IV,centroide
CO15466,Monguí,CO15,Boyacá,4,IV,centroide
CO15491,Nobsa,CO15,Boyacá,4,IV,centroide
CO15511,Pachavita,CO15,Boyacá,4,IV,malla
CO15516,Paipa,CO15,Boyacá,4,IV,malla
CO15820,Tópaga,CO15,Boyacá,4,IV,centroide
CO15897,Zetaquira,CO15,Boyacá,4,IV,malla
CO18150,Cartagena del Chairá,CO18,Caquetá,4,IV,centroide
CO18205,Curillo,CO18,Caquetá,4,IV,centroide
CO20238,El Copey,CO20,Cesar,4,IV,centroide
CO23001,Montería,CO23,Córdoba,4,IV,centroide
CO23500,Moñitos,CO23,Córdoba,4,IV,centroide
CO41530,Palestina,CO41,Huila,4,IV,malla
CO47268,El Retén,CO47,Magdalena,4,IV,centroide
CO47460,Nueva Granada,CO47,Magdalena,4,IV,centroide
CO47570,Puebloviejo,CO47,Magdalena,4,IV,centroide
CO47703,San Zenón,CO47,Magdalena,4,IV,centroide
CO47707,Santa Ana,CO47,Magdalena,4,IV,centroide
CO52001,Pasto,CO52,Nariño,4,IV,centroide
CO52036,Ancuya,CO52,Nariño,4,IV,centroide
CO52051,Arboleda,CO52,Nariño,4,IV,centroide
CO52110,Buesaco,CO52,Nariño,4,IV,centroide
CO52224,Cuaspud Carlosama,CO52,Nariño,4,IV,centroide
CO52317,Guachucal,CO52,Nariño,4,IV,centroide
CO52320,Guaitarilla,CO52,Nariño,4,IV,centroide
CO52352,Iles,CO52,Nariño,4,IV,centroide
CO52385,La Llanada,CO52,Nariño,4,IV,centroide
CO52399,La Unión,CO52,Nariño,4,IV,centroide
CO68121,Cabrera,CO68,Santander,4,IV,malla
CO68229,Curití,CO68,Santander,4,IV,centroide
CO68264,Encino,CO68,Santander,4,IV,malla
CO68498,Ocamonte,CO68,Santander,4,IV,malla
CO68502,Onzaga,CO68,Santander,4,IV,centroide
CO68533,Páramo,CO68,Santander,4,IV,malla
CO68549,Pinchote,CO68,Santander,4,IV,malla
CO68855,Valle de San José,CO68,Santander,4,IV,malla
CO81220,Cravo Norte,CO81,Arauca,4,IV,centroide
CO85162,Monterrey,CO85,Casanare,4,IV,centroide
CO85250,Paz de Ariporo,CO85,Casanare,4,IV,centroide
CO91001,Leticia,CO91,Amazonas,4,IV,centroide
CO91263,El Encanto,CO91,Amazonas,4,IV,centroide
CO91405,La Chorrera,CO91,Amazonas,4,IV,centroide
CO91407,La Pedrera,CO91,Amazonas,4,IV,centroide
CO91430,La Victoria,CO91,Amazonas,4,IV,centroide
CO91460,Mirití - Paraná,CO91,Amazonas,4,IV,centroide
CO91536,Puerto Arica,CO91,Amazonas,4,IV,centroide
CO91540,Puerto Nariño,CO91,Amazonas,4,IV,centroide
CO91669,Puerto Santander,CO91,Amazonas,4,IV,centroide
CO91798,Tarapacá,CO91,Amazonas,4,IV,centroide
CO94885,La Guadalupe,CO94,Guainía,4,IV,centroide
CO94888,Morichal,CO94,Guainía,4,IV,centroide
CO95200,Miraflores,CO95,Guaviare,4,IV,centroide
CO97001,Mitú,CO97,Vaupés,4,IV,centroide
CO97161,Carurú,CO97,Vaupés,4,IV,centroide
CO97511,Pacoa,CO97,Vaupés,4,IV,centroide
CO97666,Taraira,CO97,Vaupés,4,IV,centroide
CO97777,Papunahua,CO97,Vaupés,4,IV,centroide
CO97889,Yavaraté,CO97,Vaupés,4,IV,centroide
CO05051,Arboletes,CO05,Antioquia,3.9,IV,centroide
CO05659,San Juan de Urabá,CO05,Antioquia,3.9,IV,centroide
CO13042,Arenal,CO13,Bolívar,3.9,IV,centroide
CO13074,Barranco de Loba,CO13,Bolívar,3.9,IV,centroide
CO13300,Hatillo de Loba,CO13,Bolívar,3.9,IV,centroide
CO13490,Norosí,CO13,Bolívar,3.9,IV,centroide
CO15090,Berbeo,CO15,Boyacá,3.9,IV,malla
CO15226,Cuítiva,CO15,Boyacá,3.9,IV,centroide
CO15317,Guacamayas,CO15,Boyacá,3.9,IV,centroide
CO15362,Iza,CO15,Boyacá,3.9,IV,centroide
CO15368,Jericó,CO15,Boyacá,3.9,IV,centroide
CO15522,Panqueba,CO15,Boyacá,3.9,IV,centroide
CO15533,Paya,CO15,Boyacá,3.9,IV,centroide
CO15550,Pisba,CO15,Boyacá,3.9,IV,centroide
CO15673,San Mateo,CO15,Boyacá,3.9,IV,centroide
CO15806,Tibasosa,CO15,Boyacá,3.9,IV,centroide
CO15810,Tipacoque,CO15,Boyacá,3.9,IV,centroide
CO18029,Albania,CO18,Caquetá,3.9,IV,centroide
CO18094,Belén de los Andaquíes,CO18,Caquetá,3.9,IV,centroide
CO18479,Morelia,CO18,Caquetá,3.9,IV,centroide
CO18756,Solano,CO18,Caquetá,3.9,IV,centroide
CO18860,Valparaíso,CO18,Caquetá,3.9,IV,centroide
CO19290,Florencia,CO19,Cauca,3.9,IV,centroide
CO23675,San Bernardo del Viento,CO23,Córdoba,3.9,IV,centroide
CO27006,Acandí,CO27,Chocó,3.9,IV,centroide
CO47030,Algarrobo,CO47,Magdalena,3.9,IV,centroide
CO47245,El Banco,CO47,Magdalena,3.9,IV,centroide
CO47551,Pivijay,CO47,Magdalena,3.9,IV,centroide
CO47555,Plato,CO47,Magdalena,3.9,IV,centroide
CO47605,Remolino,CO47,Magdalena,3.9,IV,centroide
CO47660,Sabanas de San Ángel,CO47,Magdalena,3.9,IV,centroide
CO47675,Salamina,CO47,Magdalena,3.9,IV,centroide
CO47692,San Sebastián de Buenavista,CO47,Magdalena,3.9,IV,centroide
CO47980,Zona Bananera,CO47,Magdalena,3.9,IV,centroide
CO52022,Aldana,CO52,Nariño,3.9,IV,centroide
CO52227,Cumbal,CO52,Nariño,3.9,IV,centroide
CO52258,El Tablón de Gómez,CO52,Nariño,3.9,IV,centroide
CO52287,Funes,CO52,Nariño,3.9,IV,centroide
CO52354,Imués,CO52,Nariño,3.9,IV,centroide
CO52565,Providencia,CO52,Nariño,3.9,IV,centroide
CO52585,Pupiales,CO52,Nariño,3.9,IV,centroide
CO52699,Santacruz,CO52,Nariño,3.9,IV,centroide
CO52838,Túquerres,CO52,Nariño,3.9,IV,centroide
CO54743,Silos,CO54,Norte de Santander,3.9,IV,centroide
CO68152,Carcasí,CO68,Santander,3.9,IV,centroide
CO68255,El Playón,CO68,Santander,3.9,IV,malla
CO68266,Enciso,CO68,Santander,3.9,IV,centroide
CO68296,Galán,CO68,Santander,3.9,IV,malla
CO68318,Guaca,CO68,Santander,3.9,IV,centroide
CO68344,Hato,CO68,Santander,3.9,IV,malla
CO68370,Jordán,CO68,Santander,3.9,IV,malla
CO68468,Molagavita,CO68,Santander,3.9,IV,centroide
CO68522,Palmar,CO68,Santander,3.9,IV,malla
CO68684,San José de Miranda,CO68,Santander,3.9,IV,centroide
CO68705,Santa Bárbara,CO68,Santander,3.9,IV,centroide
CO70429,Majagual,CO70,Sucre,3.9,IV,centroide
CO70771,Sucre,CO70,Sucre,3.9,IV,centroide
CO81591,Puerto Rondón,CO81,Arauca,3.9,IV,centroide
CO85010,Aguazul,CO85,Casanare,3.9,IV,centroide
CO85410,Tauramena,CO85,Casanare,3.9,IV,centroide
CO85430,Trinidad,CO85,Casanare,3.9,IV,centroide
CO86569,Puerto Caicedo,CO86,Putumayo,3.9,IV,centroide
CO86571,Puerto Guzmán,CO86,Putumayo,3.9,IV,centroide
CO86757,San Miguel,CO86,Putumayo,3.9,IV,centroide
CO86885,Villagarzón,CO86,Putumayo,3.9,IV,centroide
CO91530,Puerto Alegría,CO91,Amazonas,3.9,IV,centroide
CO13430,Magangué,CO13,Bolívar,3.8,IV,centroide
CO13473,Morales,CO13,Bolívar,3.8,IV,centroide
CO13549,Pinillos,CO13,Bolívar,3.8,IV,centroide
CO13600,Río Viejo,CO13,Bolívar,3.8,IV,centroide
CO13667,San Martín de Loba,CO13,Bolívar,3.8,IV,centroide
CO13780,Talaigua Nuevo,CO13,Bolívar,3.8,IV,centroide
CO13810,Tiquisio,CO13,Bolívar,3.8,IV,centroide
CO15097,Boavita,CO15,Boyacá,3.8,IV,centroide
CO15215,Corrales,CO15,Boyacá,3.8,IV,centroide
CO15218,Covarachía,CO15,Boyacá,3.8,IV,centroide
CO15244,El Cocuy,CO15,Boyacá,3.8,IV,centroide
CO15248,El Espino,CO15,Boyacá,3.8,IV,centroide
CO15276,Floresta,CO15,Boyacá,3.8,IV,centroide
CO15296,Gámeza,CO15,Boyacá,3.8,IV,centroide
CO15377,Labranzagrande,CO15,Boyacá,3.8,IV,centroide
